Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-05-18,3.8299999237060547,4.005000114440918,3.7300000190734863,3.9100000858306885,1429300,32.90597994512706,2208355.0,-0.04250001907348633,-0.07976909956023803,-0.0837919445582645,4.702060292847422,3.114939714781972,0.4249195182720517
2022-05-19,3.690000057220459,3.990000009536743,3.5799999237060547,3.799999952316284,2705100,31.30081174740657,2268460.0,-0.03655349067216862,-0.0863107912564578,-0.08429571389790316,4.701237560459575,3.1047624576602377,0.37634226569588053
2022-05-20,3.4800000190734863,3.878000020980835,3.3399999141693115,3.7799999713897705,2497700,28.947369364537366,2336250.0,-0.056910578561117364,-0.10720458931785348,-0.08887748898189324,4.707747654346368,3.073252363773444,0.31725209790584746
2022-05-23,3.5,3.5899999141693115,3.384999990463257,3.490000009536743,2144000,32.24489891246087,2392910.0,0.0057471209243953325,-0.12075722932830901,-0.09525343705117639,4.707235436813233,3.035764569862486,0.2708391569305313
2022-05-24,3.3299999237060547,3.4600000381469727,3.259999990463257,3.4200000762939453,1551300,34.80176072647296,2421820.0,-0.04857145036969868,-0.14356050346447002,-0.10491485033383513,4.72018870362271,2.983811292562593,0.27090914621181583
2022-05-25,3.309999942779541,3.450000047683716,3.259999990463257,3.3299999237060547,2067400,36.07305667634058,2397465.0,-0.006006000415836432,-0.1613857394745235,-0.11620902816197282,4.732017443120367,2.9329825425745186,0.2733110070940726
2022-05-26,3.4600000381469727,3.625,3.2850000858306885,3.359999895095825,2148800,41.964288090108596,2183150.0,0.045317250139125465,-0.1615464069234651,-0.12527650391427128,4.604685193740913,2.9433147843245777,0.26863923626545594
2022-05-27,4.099999904632568,4.159999847412109,3.509999990463257,3.5199999809265137,3315500,62.20472233997138,2229395.0,0.18497105763858657,-0.10877718088121036,-0.12197663930765909,4.498525206778312,2.998474748398995,0.2999157402042559
2022-05-31,4.179999828338623,4.298999786376953,3.9800000190734863,4.070000171661377,2099600,66.93548363837937,2230410.0,0.019512176967531936,-0.05981238387575605,-0.10954378822127848,4.396257620575193,3.0587423269727196,0.32159968745186657
2022-06-01,4.269999980926514,4.400000095367432,4.159999847412109,4.199999809265137,2166800,70.56451558632608,2250175.0,0.021531137866974914,-0.013588529219163537,-0.0903527364208555,4.372256997954348,3.0727429591303084,0.33070684986919735
2022-06-02,4.840000152587891,5.058000087738037,4.21999979019165,4.289999961853027,4389200,74.02135330958481,2338940.0,0.13348950215632027,0.06825169572088807,-0.0586318499925068,4.575522186563215,2.951477787687579,0.4286786688091081
2022-06-03,4.800000190734863,4.829999923706055,4.585000038146973,4.760000228881836,1503300,67.09402005487294,2314625.0,-0.00826445466776271,0.12840285282557762,-0.021224909428889917,4.74144190842059,2.873558077274294,0.4973186790680449
2022-06-06,4.570000171661377,5.164999961853027,4.389999866485596,4.980000019073486,3230100,61.56862957758963,2403635.0,-0.047916668736272316,0.1557189675219579,0.01416386596127965,4.839331400251481,2.850668609285262,0.5275883918667015
2022-06-07,4.230000019073486,4.650000095367432,4.079999923706055,4.53000020980835,2484000,54.006968467443905,2402415.0,-0.07439828004739157,0.1482233874620036,0.04097577026142444,4.875440975151837,2.889559034384907,0.5326778252396428
2022-06-08,4.630000114440918,4.690000057220459,4.230000019073486,4.25,2515500,62.90322729501697,2428030.0,0.09456266987323692,0.17257046610574278,0.06729470943028812,4.958972653322947,2.9350273762409564,0.5586960504919989
2022-06-09,4.079999923706055,4.579999923706055,4.079999923706055,4.579999923706055,1816800,55.555552536644115,2417255.0,-0.11879053501951742,0.14580453853317632,0.08299667525086576,4.946772130542723,3.0302278913917866,0.5502128092304059
2022-06-10,4.110000133514404,4.199999809265137,3.98799991607666,4.0,1724000,59.45945868543619,2371420.0,0.007352992737583053,0.12556567140510033,0.09151047448171268,4.94957029551306,3.0894297388192156,0.5246752671899492
2022-06-13,3.990000009536743,4.03000020980835,3.694999933242798,3.950000047683716,2348400,57.14285515686374,2348705.0,-0.029197109508376284,0.09870540184038301,0.09294945995344675,4.9491251855012095,3.088874849784741,0.4971413467581233
2022-06-14,3.9800000190734863,4.110000133514404,3.950000047683716,4.019999980926514,1970800,59.93883653808156,2321810.0,-0.002506263268008846,0.07573846317761923,0.08950726059828125,4.9491251855012095,3.088874849784741,0.44357259668989896
2022-06-15,4.389999866485596,4.460000038146973,3.9700000286102295,4.039999961853027,3586900,64.75409408907055,2384725.0,0.10301503654453614,0.08958784705958145,0.0895233778905413,4.983186628436783,3.093813393497726,0.3676425274688778
2022-06-16,4.340000152587891,4.550000190734863,4.114999771118164,4.230000019073486,4358100,62.359550712295515,2531165.0,-0.011389456815116494,0.09542897865549449,0.09070449804353195,5.012514746338898,3.1154852984837955,0.28681758449168665
2022-06-17,4.320000171661377,4.53000020980835,4.15500020980835,4.300000190734863,11670900,53.74150046029376,2979455.0,-0.004608290374042534,0.09732241400680941,0.09202808123618744,5.033504175515473,3.157495880751311,0.27964760542681827
2022-06-21,4.599999904632568,4.929999828338623,4.359000205993652,4.369999885559082,3444700,56.68789857279921,3026805.0,0.06481475042708373,0.12003294844777113,0.09762905467850419,5.068274210811631,3.234725834011061,0.28390627232337984
2022-06-22,4.429999828338623,4.760000228881836,4.340000152587891,4.53000020980835,2744800,52.48446947427967,3056845.0,-0.03695653909095553,0.12289694571627052,0.10268263288605747,5.068827897374771,3.327172130281784,0.28288257033448905
2022-06-23,4.409999847412109,4.599999904632568,4.284999847412109,4.420000076293945,2673700,41.94756005826343,3112965.0,-0.004514668555645085,0.12214484315225338,0.10657507493929666,5.0245992449065815,3.4794007751205784,0.25050281357544213
2022-06-24,4.070000171661377,4.550000190734863,3.940000057220459,4.46999979019165,18531400,37.71043652116925,3936165.0,-0.07709743481062747,0.09304114372566019,0.10386828869656937,4.931084676585743,3.648915366329601,0.22386832357138894
2022-06-27,3.809999942779541,4.114999771118164,3.799999952316284,4.105000019073486,1774500,37.33332951863608,3917450.0,-0.06388211742401562,0.04843804308204991,0.09278223957366548,4.867119323006942,3.7478807103716596,0.24369520697450955
2022-06-28,3.2899999618530273,3.809999942779541,3.2799999713897705,3.809999942779541,3927700,35.220124088629944,3948060.0,-0.13648293667614964,-0.028540886591065018,0.06851761434071937,4.9847480280704595,3.549252011030188,0.35250204210581665
2022-06-29,2.9200000762939453,3.299999952316284,2.9200000762939453,3.299999952316284,4676700,22.857138964594157,4076915.0,-0.11246197259853064,-0.11804242194547232,0.031205607083481038,5.141463610226552,3.266536453669627,0.461976138821909
2022-06-30,3.0799999237060547,3.0899999141693115,2.869999885559082,2.930000066757202,2685400,31.88405321365869,4102845.0,0.054794466860145,-0.1740559741025689,-0.009846709153728948,5.207038752205315,3.081961305968819,0.5297874214587178
